"Libellé";"Nombre de créations d'entreprises - Ensemble - France - Données mensuelles brutes";"Codes"
"idBank";"010755537";""
"Dernière mise à jour";"20/03/2026 08:45";""
"Période";"";""
"2026-02";"106928";"A"
"2026-01";"115640";"A"
"2025-12";"96371";"A"
"2025-11";"93992";"A"
"2025-10";"116385";"A"
"2025-09";"101006";"A"
"2025-08";"80456";"A"
"2025-07";"101879";"A"
"2025-06";"93835";"A"
"2025-05";"87988";"A"
"2025-04";"97861";"A"
"2025-03";"95697";"A"
"2025-02";"95051";"A"
"2025-01";"105274";"A"
"2024-12";"83082";"A"
"2024-11";"93433";"A"
"2024-10";"104352";"A"
"2024-09";"87050";"A"
"2024-08";"73638";"A"
"2024-07";"93006";"A"
"2024-06";"91301";"A"
"2024-05";"87794";"A"
"2024-04";"93350";"A"
"2024-03";"100108";"A"
"2024-02";"98939";"A"
"2024-01";"105185";"A"
"2023-12";"85358";"U"
"2023-11";"92450";"U"
"2023-10";"101135";"U"
"2023-09";"97032";"U"
"2023-08";"75483";"U"
"2023-07";"79916";"U"
"2023-06";"87054";"U"
"2023-05";"77466";"U"
"2023-04";"84292";"U"
"2023-03";"98117";"U"
"2023-02";"84576";"U"
"2023-01";"88597";"U"
"2022-12";"89608";"A"
"2022-11";"88689";"A"
"2022-10";"98429";"A"
"2022-09";"95607";"A"
"2022-08";"70290";"A"
"2022-07";"81575";"A"
"2022-06";"85854";"A"
"2022-05";"78553";"A"
"2022-04";"87975";"A"
"2022-03";"102471";"A"
"2022-02";"89186";"A"
"2022-01";"93732";"A"
"2021-12";"85832";"A"
"2021-11";"78974";"A"
"2021-10";"96203";"A"
"2021-09";"87597";"A"
"2021-08";"63866";"A"
"2021-07";"82504";"A"
"2021-06";"92178";"A"
"2021-05";"82403";"A"
"2021-04";"93373";"A"
"2021-03";"102759";"A"
"2021-02";"93159";"A"
"2021-01";"91672";"A"
"2020-12";"84580";"A"
"2020-11";"81964";"A"
"2020-10";"99786";"A"
"2020-09";"91640";"A"
"2020-08";"65938";"A"
"2020-07";"86167";"A"
"2020-06";"76857";"A"
"2020-05";"54202";"A"
"2020-04";"38242";"A"
"2020-03";"59021";"A"
